icd_code	label	definition	synonym	grouped_synonym
ICD10CM:L02.11	Cutaneous abscess of neck		Cutaneous abscess of neck	Cutaneous abscess of neck
ICD10CM:I33.0	Acute and subacute infective endocarditis		Acute and subacute infective endocarditis	Acute and subacute infective endocarditis, Bacterial endocarditis (acute) (subacute), Endocarditis lenta (acute) (subacute), Infective endocarditis (acute) (subacute) NOS, Malignant endocarditis (acute) (subacute), Purulent endocarditis (acute) (subacute), Septic endocarditis (acute) (subacute), Ulcerative endocarditis (acute) (subacute), Vegetative endocarditis (acute) (subacute), bacterial endocarditis, endocarditis lenta, malignant endocarditis, purulent endocarditis, septic endocarditis, ulcerative endocarditis, vegetative endocarditis
ICD10CM:Z91.81	History of falling		At risk for falling	At risk for falling, History of falling
ICD10CM:J35.3	Hypertrophy of tonsils with hypertrophy of adenoids		Hypertrophy of tonsils with hypertrophy of adenoids	Hypertrophy of tonsils with hypertrophy of adenoids
ICD10CM:G62.9	Polyneuropathy, unspecified		Neuropathy NOS	Neuropathy NOS, Polyneuropathy, unspecified
ICD10CM:H50.32	Intermittent alternating esotropia		Intermittent alternating esotropia	Intermittent alternating esotropia
ICD10CM:S83.242A	Other tear of medial meniscus, current injury, left knee, initial encounter		Other tear of medial meniscus, current injury, left knee, initial encounter	Other tear of medial meniscus, current injury, left knee, initial encounter
ICD10CM:M41.124	Adolescent idiopathic scoliosis, thoracic region		Adolescent idiopathic scoliosis, thoracic region	Adolescent idiopathic scoliosis, thoracic region
ICD10CM:J15.4	Pneumonia due to other streptococci		Pneumonia due to other streptococci	Pneumonia due to other streptococci
ICD10CM:E11.42	Type 2 diabetes mellitus with diabetic polyneuropathy		Type 2 diabetes mellitus with diabetic neuralgia	Type 2 diabetes mellitus with diabetic neuralgia, Type 2 diabetes mellitus with diabetic polyneuropathy
ICD10CM:S93.323A	Subluxation of tarsometatarsal joint of unspecified foot, initial encounter		Subluxation of tarsometatarsal joint of unspecified foot, initial encounter	Subluxation of tarsometatarsal joint of unspecified foot, initial encounter
ICD10CM:S91.209A	Unspecified open wound of unspecified toe(s) with damage to nail, initial encounter		Unspecified open wound of unspecified toe(s) with damage to nail, initial encounter	Unspecified open wound of unspecified toe(s) with damage to nail, initial encounter
ICD10CM:M25.512	Pain in left shoulder		Pain in left shoulder	Pain in left shoulder
ICD10CM:M17.0	Bilateral primary osteoarthritis of knee		Bilateral primary osteoarthritis of knee	Bilateral primary osteoarthritis of knee
ICD10CM:G45.9	Transient cerebral ischemic attack, unspecified		Spasm of cerebral artery	Spasm of cerebral artery, TIA, Transient cerebral ischemia NOS, Transient cerebral ischemic attack, unspecified
ICD10CM:G47.411	Narcolepsy with cataplexy		Narcolepsy with cataplexy	Narcolepsy with cataplexy
ICD10CM:L02.219	Cutaneous abscess of trunk, unspecified		Cutaneous abscess of trunk, unspecified	Cutaneous abscess of trunk, unspecified
ICD10CM:M25.474	Effusion, right foot		Effusion, right foot	Effusion, right foot
ICD10CM:K26.4	Chronic or unspecified duodenal ulcer with hemorrhage		Chronic or unspecified duodenal ulcer with hemorrhage	Chronic or unspecified duodenal ulcer with hemorrhage
ICD10CM:F43.10	Post-traumatic stress disorder, unspecified		Post-traumatic stress disorder, unspecified	Post-traumatic stress disorder, unspecified
ICD10CM:F68.8	Other specified disorders of adult personality and behavior		Other specified disorders of adult personality and behavior	Other specified disorders of adult personality and behavior
ICD10CM:Z66	Do not resuscitate		DNR status	DNR status, Do not resuscitate
ICD10CM:R29.6	Repeated falls		Falling	Falling, Repeated falls, Tendency to fall
ICD10CM:M25.569	Pain in unspecified knee		Pain in unspecified knee	Pain in unspecified knee
ICD10CM:Z82.3	Family history of stroke		Conditions classifiable to I60-I64	Conditions classifiable to I60-I64, Family history of stroke
ICD10CM:Z46.1	Encounter for fitting and adjustment of hearing aid		Encounter for fitting and adjustment of hearing aid	Encounter for fitting and adjustment of hearing aid
ICD10CM:N13.6	Pyonephrosis		Conditions in N13.0-N13.5 with infection	Conditions in N13.0-N13.5 with infection, Obstructive uropathy with infection, Pyonephrosis
ICD10CM:N43.3	Hydrocele, unspecified		Hydrocele, unspecified	Hydrocele, unspecified
ICD10CM:B95.4	Other streptococcus as the cause of diseases classified elsewhere		Other streptococcus as the cause of diseases classified elsewhere	Other streptococcus as the cause of diseases classified elsewhere
ICD10CM:H51.8	Other specified disorders of binocular movement		Other specified disorders of binocular movement	Other specified disorders of binocular movement
ICD10CM:M67.471	Ganglion, right ankle and foot		Ganglion, right ankle and foot	Ganglion, right ankle and foot
ICD10CM:B08.4	Enteroviral vesicular stomatitis with exanthem		Enteroviral vesicular stomatitis with exanthem	Enteroviral vesicular stomatitis with exanthem, Hand, foot and mouth disease
ICD10CM:K00.6	Disturbances in tooth eruption		Dentia praecox	Dentia praecox, Disturbances in tooth eruption, Natal tooth, Neonatal tooth, Premature eruption of tooth, Premature shedding of primary [deciduous] tooth, Prenatal teeth, Retained [persistent] primary tooth
ICD10CM:N35.911	Unspecified urethral stricture, male, meatal		Unspecified urethral stricture, male, meatal	Unspecified urethral stricture, male, meatal
ICD10CM:D18.00	Hemangioma unspecified site		Hemangioma unspecified site	Hemangioma unspecified site
ICD10CM:N28.89	Other specified disorders of kidney and ureter		Other specified disorders of kidney and ureter	Other specified disorders of kidney and ureter
ICD10CM:R49.0	Dysphonia		Dysphonia	Dysphonia, Hoarseness
ICD10CM:H90.A31	Mixed conductive and sensorineural hearing loss, unilateral, right ear with restricted hearing on the contralateral side		Mixed conductive and sensorineural hearing loss, unilateral, right ear with restricted hearing on the contralateral side	Mixed conductive and sensorineural hearing loss, unilateral, right ear with restricted hearing on the contralateral side
ICD10CM:I77.819	Aortic ectasia, unspecified site		Aortic ectasia, unspecified site	Aortic ectasia, unspecified site
ICD10CM:S83.015D	Lateral dislocation of left patella, subsequent encounter		Lateral dislocation of left patella, subsequent encounter	Lateral dislocation of left patella, subsequent encounter
ICD10CM:Y93.41	Activity, dancing		Activity, dancing	Activity, dancing
ICD10CM:S93.141A	Subluxation of metatarsophalangeal joint of right great toe, initial encounter		Subluxation of metatarsophalangeal joint of right great toe, initial encounter	Subluxation of metatarsophalangeal joint of right great toe, initial encounter
ICD10CM:R63.39	Other feeding difficulties		Feeding problem (elderly) (infant) NOS	Feeding problem (elderly) (infant) NOS, Other feeding difficulties, Picky eater
ICD10CM:H25.11	Age-related nuclear cataract, right eye		Age-related nuclear cataract, right eye	Age-related nuclear cataract, right eye
ICD10CM:Q23.9	Congenital malformation of aortic and mitral valves, unspecified		Congenital malformation of aortic and mitral valves, unspecified	Congenital malformation of aortic and mitral valves, unspecified
ICD10CM:Z82.69	Family history of other diseases of the musculoskeletal system and connective tissue		Family history of other diseases of the musculoskeletal system and connective tissue	Family history of other diseases of the musculoskeletal system and connective tissue
ICD10CM:F17.200	Nicotine dependence, unspecified, uncomplicated		Nicotine dependence, unspecified, uncomplicated	Nicotine dependence, unspecified, uncomplicated, Tobacco use disorder, mild, Tobacco use disorder, moderate, Tobacco use disorder, severe
ICD10CM:H65.91	Unspecified nonsuppurative otitis media, right ear		Unspecified nonsuppurative otitis media, right ear	Unspecified nonsuppurative otitis media, right ear
ICD10CM:M21.80	Other specified acquired deformities of unspecified limb		Other specified acquired deformities of unspecified limb	Other specified acquired deformities of unspecified limb
ICD10CM:M23.52	Chronic instability of knee, left knee		Chronic instability of knee, left knee	Chronic instability of knee, left knee
ICD10CM:Z51.89	Encounter for other specified aftercare		Encounter for other specified aftercare	Encounter for other specified aftercare
ICD10CM:Z83.2	Family history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism		Conditions classifiable to D50-D89	Conditions classifiable to D50-D89, Family history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
ICD10CM:R68.82	Decreased libido		Decreased libido	Decreased libido, Decreased sexual desire
ICD10CM:R62.51	Failure to thrive (child)		Failure to gain weight	Failure to gain weight, Failure to thrive (child), failure to thrive
ICD10CM:H69.81	Other specified disorders of Eustachian tube, right ear		Other specified disorders of Eustachian tube, right ear	Other specified disorders of Eustachian tube, right ear
ICD10CM:M22.2X2	Patellofemoral disorders, left knee		Patellofemoral disorders, left knee	Patellofemoral disorders, left knee
ICD10CM:R74.0	Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]		Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]	Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH], nonspecific elevation of levels of transaminase and lactic acid dehydrogenase
ICD10CM:N91.3	Primary oligomenorrhea		Primary oligomenorrhea	Primary oligomenorrhea
ICD10CM:K59.8	Other specified functional intestinal disorders		Other specified functional intestinal disorders	Other specified functional intestinal disorders
ICD10CM:E21.5	Disorder of parathyroid gland, unspecified		Disorder of parathyroid gland, unspecified	Disorder of parathyroid gland, unspecified
ICD10CM:J45.41	Moderate persistent asthma with (acute) exacerbation		Moderate persistent asthma with (acute) exacerbation	Moderate persistent asthma with (acute) exacerbation
ICD10CM:C50.411	Malignant neoplasm of upper-outer quadrant of right female breast		Malignant neoplasm of upper-outer quadrant of right female breast	Malignant neoplasm of upper-outer quadrant of right female breast
ICD10CM:K74.60	Unspecified cirrhosis of liver		Cirrhosis (of liver) NOS	Cirrhosis (of liver) NOS, Unspecified cirrhosis of liver
ICD10CM:Z79.51	Long term (current) use of inhaled steroids		Long term (current) use of inhaled steroids	Long term (current) use of inhaled steroids
ICD10CM:H83.3X3	Noise effects on inner ear, bilateral		Noise effects on inner ear, bilateral	Noise effects on inner ear, bilateral
ICD10CM:R63.2	Polyphagia		Excessive eating	Excessive eating, Hyperalimentation NOS, Polyphagia
ICD10CM:M50.823	Other cervical disc disorders at C6-C7 level		Other C6-C7 cervical disc disorders	Other C6-C7 cervical disc disorders, Other cervical disc disorders at C6-C7 level
ICD10CM:R39.81	Functional urinary incontinence		Functional urinary incontinence	Functional urinary incontinence, Urinary incontinence due to cognitive impairment, or severe physical disability or immobility
ICD10CM:K94.23	Gastrostomy malfunction		Gastrostomy malfunction	Gastrostomy malfunction, Mechanical complication of gastrostomy
ICD10CM:M50.123	Cervical disc disorder at C6-C7 level with radiculopathy		C6-C7 disc disorder with radiculopathy	C6-C7 disc disorder with radiculopathy, C7 radiculopathy due to disc disorder, Cervical disc disorder at C6-C7 level with radiculopathy
ICD10CM:S83.012A	Lateral subluxation of left patella, initial encounter		Lateral subluxation of left patella, initial encounter	Lateral subluxation of left patella, initial encounter
ICD10CM:Z46.6	Encounter for fitting and adjustment of urinary device		Encounter for fitting and adjustment of urinary device	Encounter for fitting and adjustment of urinary device
ICD10CM:M99.81	Other biomechanical lesions of cervical region		Other biomechanical lesions of cervical region	Other biomechanical lesions of cervical region
ICD10CM:E21.3	Hyperparathyroidism, unspecified		Hyperparathyroidism, unspecified	Hyperparathyroidism, unspecified
